"","facility_id","facility_name","address","citytown","state","zip_code","countyparish","telephone_number","measure_id","measure_name","score","sample","footnote","start_date","end_date"
"111","030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","(623) 832-4000","SM_7","Maternal Morbidity Structural Measure","Not Applicable (our hospital does not provide inpatient labor/delivery care)","Not Applicable","","01/01/2023","12/31/2023"
"112","030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","(623) 832-4000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"113","030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","(623) 832-4000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"114","030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","(623) 832-4000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"115","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","(928) 537-4375","PC_01","Elective Delivery","5","64","","01/01/2023","12/31/2023"
"116","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","(928) 537-4375","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"117","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","(928) 537-4375","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"118","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","(928) 537-4375","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"119","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","(928) 537-4375","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"120","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","(928) 537-4375","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"121","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE","TUCSON","AZ","85719","PIMA","(520) 874-4189","PC_01","Elective Delivery","0","51","2","01/01/2023","12/31/2023"
"122","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE","TUCSON","AZ","85719","PIMA","(520) 874-4189","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"123","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE","TUCSON","AZ","85719","PIMA","(520) 874-4189","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"124","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE","TUCSON","AZ","85719","PIMA","(520) 874-4189","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"125","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE","TUCSON","AZ","85719","PIMA","(520) 874-4189","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"126","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE","TUCSON","AZ","85719","PIMA","(520) 874-4189","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"127","030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","(480) 412-3000","PC_01","Elective Delivery","2","48","2","01/01/2023","12/31/2023"
"128","030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","(480) 412-3000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"129","030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","(480) 412-3000","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"130","030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","(480) 412-3000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"131","030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","(480) 412-3000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"132","030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","(480) 412-3000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"133","030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 855-8185","PC_01","Elective Delivery","3","59","2","01/01/2023","12/31/2023"
"134","030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 855-8185","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"135","030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 855-8185","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"136","030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 855-8185","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"137","030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 855-8185","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"138","030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 855-8185","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"139","030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","(928) 729-8000","PC_01","Elective Delivery","0","36","","01/01/2023","12/31/2023"
"140","030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","(928) 729-8000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"141","030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","(928) 729-8000","SM_7","Maternal Morbidity Structural Measure","No","Not Applicable","","01/01/2023","12/31/2023"
"142","030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","(928) 729-8000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"143","030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","(928) 729-8000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"144","030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","(928) 729-8000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"145","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","PC_01","Elective Delivery","0","18","2","01/01/2023","12/31/2023"
"146","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","PC_05","Exclusive Breast Milk Feeding","62","248","","01/01/2023","12/31/2023"
"147","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"148","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"149","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"150","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"151","030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ","85634","PIMA","(520) 362-7003","PC_01","Elective Delivery","Not Available","Not Available","5","01/01/2023","12/31/2023"
"152","030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ","85634","PIMA","(520) 362-7003","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"153","030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ","85634","PIMA","(520) 362-7003","SM_7","Maternal Morbidity Structural Measure","Not Available","Not Applicable","5","01/01/2023","12/31/2023"
"154","030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ","85634","PIMA","(520) 362-7003","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"155","030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ","85634","PIMA","(520) 362-7003","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"156","030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ","85634","PIMA","(520) 362-7003","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"157","030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","(602) 263-1200","PC_01","Elective Delivery","Not Available","Not Available","3, 7","01/01/2023","12/31/2023"
"158","030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","(602) 263-1200","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"159","030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","(602) 263-1200","SM_7","Maternal Morbidity Structural Measure","Not Applicable (our hospital does not provide inpatient labor/delivery care)","Not Applicable","","01/01/2023","12/31/2023"
"160","030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","(602) 263-1200","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"161","030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","(602) 263-1200","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"162","030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","(602) 263-1200","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"163","030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","(602) 923-5609","PC_01","Elective Delivery","Not Available","Not Available","7","01/01/2023","12/31/2023"
"164","030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","(602) 923-5609","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"165","030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","(602) 923-5609","SM_7","Maternal Morbidity Structural Measure","Not Applicable (our hospital does not provide inpatient labor/delivery care)","Not Applicable","","01/01/2023","12/31/2023"
"166","030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","(602) 923-5609","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"167","030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","(602) 923-5609","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"168","030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","(602) 923-5609","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"169","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","PC_01","Elective Delivery","3","31","2","01/01/2023","12/31/2023"
"170","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","PC_05","Exclusive Breast Milk Feeding","","0","","01/01/2023","12/31/2023"
"171","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","PC_05","Exclusive Breast Milk Feeding","Not Available","","5","01/01/2023","12/31/2023"
"172","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"173","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","ePC_02","Cesarean Birth","Not Available","Not Available","7","01/01/2023","12/31/2023"
"174","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"175","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ","86503","APACHE","(928) 674-7001","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"176","030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","PC_01","Elective Delivery","10","52","2","01/01/2023","12/31/2023"
"177","030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"178","030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"179","030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"180","030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"181","030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"182","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","(480) 323-3000","PC_01","Elective Delivery","6","581","","01/01/2023","12/31/2023"
"183","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","(480) 323-3000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"184","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","(480) 323-3000","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"185","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","(480) 323-3000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"186","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","(480) 323-3000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"187","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","(480) 323-3000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"188","030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","PC_01","Elective Delivery","Not Available","Not Available","7","01/01/2023","12/31/2023"
"189","030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"190","030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","SM_7","Maternal Morbidity Structural Measure","Not Applicable (our hospital does not provide inpatient labor/delivery care)","Not Applicable","","01/01/2023","12/31/2023"
"191","030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"192","030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"193","030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"194","030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","(602) 865-4470","PC_01","Elective Delivery","2","119","2","01/01/2023","12/31/2023"
"195","030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","(602) 865-4470","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"196","030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","(602) 865-4470","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"197","030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","(602) 865-4470","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"198","030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","(602) 865-4470","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"199","030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","(602) 865-4470","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"200","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","(623) 879-6100","PC_01","Elective Delivery","Not Available","Not Available","7","01/01/2023","12/31/2023"
"201","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","(623) 879-6100","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"202","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","(623) 879-6100","SM_7","Maternal Morbidity Structural Measure","Not Applicable (our hospital does not provide inpatient labor/delivery care)","Not Applicable","","01/01/2023","12/31/2023"
"203","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","(623) 879-6100","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"204","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","(623) 879-6100","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"205","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","(623) 879-6100","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"206","030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","(623) 524-4000","PC_01","Elective Delivery","0","35","2","01/01/2023","12/31/2023"
"207","030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","(623) 524-4000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"208","030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","(623) 524-4000","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"209","030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","(623) 524-4000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"210","030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","(623) 524-4000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"211","030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","(623) 524-4000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"212","030094","ABRAZO ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","PC_01","Elective Delivery","32","97","2","01/01/2023","12/31/2023"
"213","030094","ABRAZO ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"214","030094","ABRAZO ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"215","030094","ABRAZO ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"216","030094","ABRAZO ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"217","030094","ABRAZO ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"218","030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","2735 SILVER CREEK ROAD","BULLHEAD CITY","AZ","86442","MOHAVE","(928) 763-2273","PC_01","Elective Delivery","Not Available","Not Available","7","01/01/2023","12/31/2023"
